publication;author;department;isauthor;code
2299;211;14;1;906
2300;214;14;1;907
2301;291;18;1;908
2302;237;13;1;909
2303;238;13;1;910
2304;123;7;1;911
2304;247;13;0;912
2305;111;7;1;913
2306;111;7;1;914
2307;120;7;1;915
2308;120;7;1;916
2309;229;13;1;917
2310;161;8;1;918
2311;142;8;1;919
2312;147;8;1;920
2313;148;8;1;921
2314;154;8;1;922
2315;156;8;1;923
2316;161;8;1;924
2317;166;8;1;925
2318;171;8;1;926
2319;238;13;1;927
2320;111;7;1;928
2321;120;7;1;929
2322;125;7;1;930
2324;125;7;1;931
2325;286;15;1;932
2326;277;17;1;933
2327;61;3;1;934
1453;301;19;0;935
1453;311;19;0;936
2328;225;13;1;937
2329;249;16;1;938
2244;79;5;1;939
2330;238;13;1;940
2331;88;5;1;941
2332;191;11;1;942
2333;191;11;1;943
2334;191;11;1;944
2334;192;11;0;945
2335;88;5;1;946
2336;121;7;1;947
2222;181;10;1;948
2338;8;1;1;949
2339;238;13;1;950
668;328;20;0;951
2341;260;16;1;952
60;327;20;1;953
2342;218;14;1;954
2343;176;10;1;955
344;178;10;1;956
2345;294;18;1;957
2346;294;18;1;958
2347;294;18;1;959
2348;80;5;1;960
2348;89;5;0;961
2349;242;13;1;962
2350;242;13;1;963
2351;242;13;1;964
2352;242;13;1;965
2353;242;13;1;966
2354;242;13;1;967
2356;242;13;1;968
2357;242;13;1;969
2358;242;13;1;970
2359;242;13;1;971
2360;242;13;1;972
2361;242;13;1;973
2362;242;13;1;974
2364;87;5;1;975
2364;92;6;0;976
2364;186;11;0;977
2364;81;5;0;978
2364;327;20;0;979
2364;85;5;0;980
2364;86;5;0;981
2364;88;5;0;982
2364;89;5;0;983
2366;264;17;1;984
2365;318;20;1;985
2365;195;12;0;986
2367;318;20;1;987
2368;225;13;1;988
2368;325;20;0;989
2369;265;17;1;990
2369;56;3;0;991
2370;265;17;1;992
2370;193;11;0;993
2371;195;12;1;994
2372;10;1;1;995
2372;138;9;0;996
2373;254;16;1;997
2373;5;1;0;998
2374;325;20;1;999
2375;56;3;1;1000
2376;17;1;1;1001
2377;138;9;1;1002
2378;105;7;1;1003
2378;17;1;0;1004
2379;79;5;1;1005
2380;5;1;1;1006
2381;96;6;1;1007
2382;7;1;1;1008
2383;10;1;1;1009
2384;191;11;1;1010
2385;191;11;1;1011
2386;194;12;1;1012
2387;307;19;1;1013
2388;306;19;1;1014
2389;279;15;1;1015
2390;222;13;1;1016
2391;51;3;1;1017
2392;252;16;1;1018
2392;257;16;0;1019
2393;176;10;1;1020
2394;176;10;1;1021
2395;181;10;1;1022
2396;64;3;1;1023
2397;250;16;1;1024
2398;264;17;1;1025
2399;50;3;1;1026
2400;268;17;1;1027
2401;290;18;1;1028
2401;274;17;0;1029
2402;270;17;1;1030
2403;325;20;1;1031
2404;274;17;1;1032
2405;62;3;1;1033
2406;261;16;1;1034
2407;23;1;1;1035
2408;250;16;1;1036
2409;263;16;1;1037
2410;85;5;1;1038
2411;11;1;1;1039
2412;11;1;1;1040
2412;10;1;0;1041
2413;322;20;1;1042
2414;89;5;1;1043
2415;128;7;1;1044
2416;128;7;1;1045
2416;107;7;0;1046
2417;279;15;1;1047
2418;302;19;1;1048
2419;195;12;1;1049
2420;176;10;1;1050
2421;64;3;1;1051
2422;183;10;1;1052
2423;105;7;1;1053
2424;336;1;1;1054
2425;336;1;1;1055
2426;336;1;1;1056
2427;336;1;1;1057
2428;336;1;1;1058
2429;336;1;1;1059
2430;336;1;1;1060
2431;337;1;1;1061
2432;337;1;1;1062
2433;337;1;1;1063
2434;336;1;1;1064
2435;336;1;1;1065
2436;336;1;1;1066
2437;336;1;1;1067
2438;336;1;1;1068
2439;336;1;1;1069
2440;336;1;1;1070
2441;8;1;1;1071
2442;301;19;1;1072
2443;297;18;1;1073
2444;297;18;1;1074
71;337;1;0;1075
2445;35;2;1;1076
2446;322;20;1;1077
2446;259;16;0;1078
2447;331;3;1;1079
2449;132;9;1;1080
2450;74;4;1;1081
2451;74;4;1;1082
2452;74;4;1;1083
2453;74;4;1;1084
2454;74;4;1;1085
2455;74;4;1;1086
